movie_id,collection_id
10131,8581
10160,8581
11284,8581
4488,9735
9725,9735
9728,9735
9730,9735
9731,9735
10225,9735
10281,9735
10283,9735
948,91361
11281,91361
10676,91361
11357,91361
11361,91361
36599,123255
39929,123255
41828,123255
41769,123255
10585,10455
11186,10455
11187,10455
609,10453
11133,10453
10306,10453
9552,12263
11586,12263
11587,12263
941,945
942,945
943,945
927,89151
928,89151
9342,1657
165,264
196,264
551,372257
17984,294468
22328,87232
3170,87250
242,230
29228,297143
11164,10709
12129,12087
14140,12087
11158,72119
9354,72119
9325,97459
10340,97460
10144,33085
10414,10709
10437,256377
12230,100693
10693,55422
11135,57971
11319,57971
14822,90348
15969,86027
15943,294519
19762,294468
2619,248126
97,63043
11675,91361
87,84
123,141290
10823,115225
11497,140910
2907,11716
15171,263193
11704,141292
4978,8783
10380,8783
11415,102782
37530,102782
8393,87805
11937,87805
21661,97445
39930,143755
10692,143755
805,264338
34584,91430
34636,91430
2182,47983
36647,735
431,432
2109,90863
9877,52760
1091,479888
4437,4438
11932,10455
9945,348843
4518,100286
3600,3601
12223,374384
14444,57129
1678,374509
39256,374511
1680,374509
244,135495
10730,135498
31947,135498
9749,104833
14628,104833
9626,43055
707,645
9336,9338
10157,9338
12118,9338
10587,9338
11825,9338
11895,9338
9447,9435
200,115570
1369,5039
1368,5039
1370,5039
10303,89264
9326,89264
10328,86307
11285,86307
1367,1575
1371,1575
1374,1575
1375,1575
1885,8580
8856,8580
10495,8580
5825,108693
6917,340623
40729,340623
11815,123213
9426,109609
10344,109609
30497,111751
16337,111751
25018,111751
16780,111751
9671,9332
9396,9332
11873,387219
8224,387618
8913,10789
10906,10789
25748,115225
25749,115225
10671,33938
27932,33938
7227,33938
33518,124934
2362,166698
871,1709
1685,1709
1705,1709
1688,1709
1687,1709
29723,33938
31638,372257
9535,110127
796,52789
7341,257053
603,2344
564,1733
9460,205860
1893,10
15849,221544
18990,138965
29242,221544
29243,221544
31498,221544
29239,221544
1924,8537
8536,8537
9531,8537
11411,8537
138,221539
30793,221539
3103,218406
3035,218406
3077,218406
3074,218406
3076,259027
3079,123720
32023,221539
13666,259027
29794,174218
36685,281644
17918,87228
817,1006
37135,106768
2105,2806
10239,104068
10208,256377
2667,64750
9825,97768
620,2980
2978,2980
332,237445
147,185682
9710,135502
10766,10919
10768,10919
813,91663
2665,91663
11418,108693
11153,108693
11077,180854
28597,180854
850,201873
10366,10713
9349,10713
11037,123251
11955,123251
2038,123251
28737,123251
91893,189295
11601,143757
11797,98168
18086,98168
10975,146136
10974,146136
9638,47770
10576,119674
12662,119674
11230,12203
1654,124492
658,645
657,645
646,645
5689,59586
391,48317
772,9888
65448,380822
65452,380822
29064,122947
10496,381396
16162,243598
15247,89188
29251,391047
5548,5547
5549,5547
699,645
709,645
253,645
660,645
11377,248339
18111,98036
16281,107725
16288,107725
1694,98036
24831,212279
37853,398740
14035,48037
40771,48037
40772,48037
40773,48037
10228,34055
11663,207952
9264,48188
18222,48188
20565,95051
36643,645
863,10194
32669,359005
10402,95664
25188,135509
15515,321063
10137,99727
49948,55427
10471,43563
14919,421904
2005,103573
6279,103573
8872,8979
8873,8979
9869,192492
9367,9649
16562,110179
4234,2602
9605,338282
8374,87186
25934,327598
2787,2794
2069,103577
10839,93568
838,124950
11176,256377
11899,256377
9532,8864
13939,14377
14373,14377
24873,14377
26263,14377
34746,14377
1498,1582
1497,1582
1499,1582
11690,36694
11520,119050
990,387219
11478,8647
11356,221966
17339,366826
26879,338327
13665,170754
12309,466318
106,399
1359,86105
10557,159616
11977,104847
9456,9436
889,351684
452,498
39283,256484
65460,256484
55667,256484
12476,175858
16395,127280
5608,342009
10560,246839
5683,179244
14906,271668
9285,96679
955,87359
8584,59567
668,645
691,645
698,645
682,645
9600,44979
21,252313
10911,366826
26912,123726
26278,123726
26953,107949
26954,107949
26956,107949
26957,107949
26958,107949
26959,107949
26960,107949
23069,424830
21299,424830
38802,424830
21137,157671
36724,157671
938,48317
10648,10456
10246,109592
19698,109592
23919,109592
26554,263866
15239,32135
28165,32135
28169,32135
169,399
10128,174245
9659,8945
8810,8945
9355,8945
10068,121195
11495,207447
482,495
479,495
9873,171439
16820,171439
15379,46512
12764,46512
27352,46512
17897,321063
16094,159600
16096,159600
11822,173628
494,495
493,495
4247,4246
36657,748
12599,34055
11940,321063
12107,86028
9383,166376
15158,47770
16139,47770
16146,47770
26515,123256
13567,47391
20850,123249
8843,223564
10643,374512
37136,37139
37137,37139
11398,25410
1588,430186
12211,8050
1698,8412
12212,52760
16,498
9003,8917
9064,8917
11569,8917
26484,338327
39113,338327
38126,123213
53617,338327
10973,221537
10787,259401
27475,138971
27764,138971
27767,138971
40760,138974
40446,138974
20455,39244
1597,51509
21142,240690
78140,240690
18498,44913
28605,44913
12207,12203
11531,64750
4327,86029
681,645
16340,57129
10481,124916
146,290973
11849,106498
708,645
10673,52783
11688,178117
1493,93220
10577,115822
15739,312735
9816,107469
96,85861
90,85861
19933,141282
18935,330555
764,1960
580,2366
1547,109076
10019,124951
37302,109082
843,287016
9740,9743
19405,421084
43332,366444
17965,116847
11454,9743
14052,48190
16889,48190
23730,257571
10054,86486
2043,142680
56715,52888
10991,34055
634,8936
10956,353325
9290,9332
1734,1733
808,2150
1406,150156
41050,441439
966,110021
12639,110021
10865,100965
1995,2467
10808,3169
9799,9485
60670,3963
10992,87014
4248,4246
26483,338327
24382,421566
11286,101688
11950,101688
12236,101688
26573,427956
20075,33071
20197,33071
11906,127280
2114,140760
8835,86024
26044,170754
30502,179244
18509,104847
3980,10893
10127,10893
12702,10893
10651,10456
5680,182617
26386,330555
38500,174218
12144,19163
24929,101471
10925,101471
13965,89272
24266,89272
11966,86347
2605,86347
41428,182923
29095,126220
12500,91945
25678,91945
25682,91945
32049,153948
1648,91746
53150,257571
10134,98853
15142,351230
25005,186102
21721,186102
10345,88735
10222,105322
9494,9521
9942,97771
331,328
19142,87228
41946,87631
10135,224976
30666,138706
25155,138706
11342,87536
24126,87536
8494,118221
27813,104716
9880,107674
5175,90863
4484,239968
11684,239968
17169,168182
2770,2806
8922,94899
16314,71458
18885,71458
40508,71458
30379,122947
35200,383632
9398,352789
10866,166378
166,41649
13612,33071
984,10456
141,178106
585,137696
45964,276838
671,1241
16085,449750
16441,106000
34388,89188
37835,284024
26398,211753
10649,10456
27591,211753
10650,10456
8007,98513
161,304
1649,91746
120,119
12593,476056
14683,476056
45491,395591
11595,93295
9610,43055
150,93295
11528,87214
16690,55422
39939,449462
39282,449750
993,262011
11979,217704
25006,124879
23479,215326
66946,215326
19050,215326
108266,460292
108267,460292
15999,122952
13225,19160
7219,133923
26200,108669
38147,221308
24032,221308
425,8354
1576,17255
17804,456980
31805,135441
13861,135441
29021,135441
31812,135441
28213,104068
12705,87220
11006,87220
15120,87220
16026,112537
36586,735
11452,43220
11590,261526
8346,389767
307,256729
15482,47983
45878,406817
12154,107688
11630,107688
9334,116669
11470,9735
5203,5202
557,556
12227,178654
43643,178654
1894,10
15417,168182
4614,192492
2501,31562
9637,86860
14774,33071
11544,97461
11982,9521
21972,363014
608,86055
11442,91361
10996,99727
818,1006
24130,167456
36645,113635
23728,167456
9488,86486
7451,52785
34070,356437
9266,115839
15070,117777
11243,363966
19975,363966
9595,52988
24038,135501
3127,123720
10859,162028
10611,176097
4108,9518
18943,330555
32685,330555
18477,267922
12262,267922
9533,9743
10575,277739
1682,374509
39462,374509
18983,374509
24348,173344
82545,135509
34600,330555
39128,330555
11868,123724
10772,386818
77079,386818
12600,34055
565,14563
21925,173344
10285,9735
11009,288280
10805,288280
225,457305
17205,373538
15900,97237
12237,97237
15901,97237
15902,97237
15904,97237
97251,97237
22435,169329
2264,295862
39874,264437
31646,212279
9012,17178
12208,645
9021,53159
10167,43063
672,1241
29229,109082
12716,148517
12717,148517
13888,59586
9538,88574
27997,281644
36669,645
10426,43563
20992,218293
6007,12075
25239,296429
14433,374386
9932,110127
22257,140126
35343,63170
171,41649
11564,164397
20787,423877
201,115570
121,119
11317,85960
4032,85960
31804,135441
16225,141086
23626,104842
9358,8864
15802,227147
11915,10517
29224,63170
2262,295862
24830,315750
9699,937
23943,137766
6038,59567
14873,97459
12139,195441
24883,405393
17264,405393
10929,375886
15347,354210
2671,93369
9669,93369
